year,units,value,type_of_location_visited,breakdown_of_domestic_tourism,location_type,is_city
2014,million pounds (GBP),186,Seaside - beach,Expenditure,Seaside,Not City
2019,million pounds (GBP),1456,Small town,Expenditure,Town or Village,Not City
2016,million pounds (GBP),4916,All areas,Expenditure,All,Not City
2018,million pounds (GBP),5474,All areas,Expenditure,All,Not City
2013,million pounds (GBP),217,Seaside - beach,Expenditure,Seaside,Not City
2018,million pounds (GBP),6,Seaside - other,Expenditure,Seaside,Not City
2018,million pounds (GBP),1234,Small town,Expenditure,Town or Village,Not City
2015,million pounds (GBP),230,Seaside resort or town,Expenditure,Seaside,Not City
2016,million pounds (GBP),302,Seaside resort or town,Expenditure,Seaside,Not City
2019,million pounds (GBP),359,Seaside resort or town,Expenditure,Seaside,Not City
2017,million pounds (GBP),458,Seaside resort or town,Expenditure,Seaside,Not City
2015,million pounds (GBP),3922,All areas,Expenditure,All,Not City
2014,million pounds (GBP),5020,All areas,Expenditure,All,Not City
2013,million pounds (GBP),4647,All areas,Expenditure,All,Not City
2016,million pounds (GBP),1037,Small town,Expenditure,Town or Village,Not City
2013,million pounds (GBP),68,Seaside - other,Expenditure,Seaside,Not City
2013,million pounds (GBP),1035,Small town,Expenditure,Town or Village,Not City
2017,million pounds (GBP),246,Seaside - beach,Expenditure,Seaside,Not City
2019,million pounds (GBP),35,Seaside - other,Expenditure,Seaside,Not City
2015,million pounds (GBP),914,Small town,Expenditure,Town or Village,Not City
2016,million pounds (GBP),32,Seaside - other,Expenditure,Seaside,Not City
2016,million pounds (GBP),249,Seaside - beach,Expenditure,Seaside,Not City
2015,million pounds (GBP),36,Seaside - other,Expenditure,Seaside,Not City
2014,million pounds (GBP),128,Seaside - other,Expenditure,Seaside,Not City
2017,million pounds (GBP),75,Seaside - other,Expenditure,Seaside,Not City
2015,million pounds (GBP),81,Seaside - beach,Expenditure,Seaside,Not City
2019,million pounds (GBP),237,Seaside - beach,Expenditure,Seaside,Not City
2018,million pounds (GBP),151,Seaside - beach,Expenditure,Seaside,Not City
2019,million pounds (GBP),457,Village,Expenditure,Town or Village,Not City
2015,million pounds (GBP),308,Village,Expenditure,Town or Village,Not City
2019,million pounds (GBP),3400,City/large town,Expenditure,City,City
2018,million pounds (GBP),3111,City/large town,Expenditure,City,City
2017,million pounds (GBP),1377,Small town,Expenditure,Town or Village,Not City
2017,million pounds (GBP),883,Village,Expenditure,Town or Village,Not City
2014,million pounds (GBP),1398,Small town,Expenditure,Town or Village,Not City
2014,million pounds (GBP),2873,City/large town,Expenditure,City,City
2015,million pounds (GBP),2254,City/large town,Expenditure,City,City
2017,million pounds (GBP),3379,City/large town,Expenditure,City,City
2016,million pounds (GBP),2630,City/large town,Expenditure,City,City
2014,million pounds (GBP),286,Seaside resort or town,Expenditure,Seaside,Not City
2013,million pounds (GBP),2850,City/large town,Expenditure,City,City
2013,million pounds (GBP),206,Seaside resort or town,Expenditure,Seaside,Not City
2017,million pounds (GBP),778,Rural countryside,Expenditure,Countryside,Not City
2016,million pounds (GBP),520,Rural countryside,Expenditure,Countryside,Not City
2017,million pounds (GBP),5995,All areas,Expenditure,All,Not City
2019,million pounds (GBP),429,Rural countryside,Expenditure,Countryside,Not City
2015,million pounds (GBP),402,Rural countryside,Expenditure,Countryside,Not City
2018,million pounds (GBP),228,Seaside resort or town,Expenditure,Seaside,Not City
2018,million pounds (GBP),502,Rural countryside,Expenditure,Countryside,Not City
2016,million pounds (GBP),482,Village,Expenditure,Town or Village,Not City
2014,million pounds (GBP),510,Village,Expenditure,Town or Village,Not City
2018,million pounds (GBP),651,Village,Expenditure,Town or Village,Not City
2013,million pounds (GBP),483,Village,Expenditure,Town or Village,Not City
2014,million pounds (GBP),612,Rural countryside,Expenditure,Countryside,Not City
2019,million pounds (GBP),5777,All areas,Expenditure,All,Not City
2013,million pounds (GBP),545,Rural countryside,Expenditure,Countryside,Not City
2013,Million Visits,33,Small town,Visits,Town or Village,Not City
2016,Million Visits,17,Village,Visits,Town or Village,Not City
2015,Million Visits,32,Small town,Visits,Town or Village,Not City
2013,Million Visits,15,Village,Visits,Town or Village,Not City
2014,Million Visits,4,Seaside - beach,Visits,Seaside,Not City
2016,Million Visits,5,Seaside - beach,Visits,Seaside,Not City
2018,Million Visits,16,Village,Visits,Town or Village,Not City
2014,Million Visits,12,Village,Visits,Town or Village,Not City
2017,Million Visits,19,Village,Visits,Town or Village,Not City
2017,Million Visits,70,City/large town,Visits,City,City
2019,Million Visits,7,Seaside - beach,Visits,Seaside,Not City
2019,Million Visits,16,Village,Visits,Town or Village,Not City
2014,Million Visits,35,Small town,Visits,Town or Village,Not City
2018,Million Visits,38,Small town,Visits,Town or Village,Not City
2013,Million Visits,59,City/large town,Visits,City,City
2018,Million Visits,64,City/large town,Visits,City,City
2016,Million Visits,61,City/large town,Visits,City,City
2015,Million Visits,59,City/large town,Visits,City,City
2017,Million Visits,8,Seaside - beach,Visits,Seaside,Not City
2019,Million Visits,59,City/large town,Visits,City,City
2015,Million Visits,4,Seaside - beach,Visits,Seaside,Not City
2016,Million Visits,7,Seaside resort or town,Visits,Seaside,Not City
2015,Million Visits,8,Seaside resort or town,Visits,Seaside,Not City
2018,Million Visits,5,Seaside - beach,Visits,Seaside,Not City
2019,Million Visits,9,Seaside resort or town,Visits,Seaside,Not City
2013,Million Visits,8,Seaside resort or town,Visits,Seaside,Not City
2014,Million Visits,59,City/large town,Visits,City,City
2014,Million Visits,8,Seaside resort or town,Visits,Seaside,Not City
2018,Million Visits,17,Rural countryside,Visits,Countryside,Not City
2014,Million Visits,19,Rural countryside,Visits,Countryside,Not City
2013,Million Visits,124,All areas,Visits,All,Not City
2017,Million Visits,21,Rural countryside,Visits,Countryside,Not City
2016,Million Visits,22,Rural countryside,Visits,Countryside,Not City
2019,Million Visits,19,Rural countryside,Visits,Countryside,Not City
2014,Million Visits,2,Seaside - other,Visits,Seaside,Not City
2017,Million Visits,9,Seaside resort or town,Visits,Seaside,Not City
2018,Million Visits,8,Seaside resort or town,Visits,Seaside,Not City
2014,Million Visits,127,All areas,Visits,All,Not City
2015,Million Visits,124,All areas,Visits,All,Not City
2013,Million Visits,4,Seaside - beach,Visits,Seaside,Not City
2016,Million Visits,142,All areas,Visits,All,Not City
2016,Million Visits,2,Seaside - other,Visits,Seaside,Not City
2017,Million Visits,2,Seaside - other,Visits,Seaside,Not City
2015,Million Visits,11,Village,Visits,Town or Village,Not City
2013,Million Visits,18,Rural countryside,Visits,Countryside,Not City
2015,Million Visits,17,Rural countryside,Visits,Countryside,Not City
2016,Million Visits,39,Small town,Visits,Town or Village,Not City
2017,Million Visits,40,Small town,Visits,Town or Village,Not City
2019,Million Visits,37,Small town,Visits,Town or Village,Not City
2019,Million Visits,134,All areas,Visits,All,Not City
2018,Million Visits,2,Seaside - other,Visits,Seaside,Not City
2019,Million Visits,1,Seaside - other,Visits,Seaside,Not City
2015,Million Visits,2,Seaside - other,Visits,Seaside,Not City
2018,Million Visits,138,All areas,Visits,All,Not City
2013,Million Visits,3,Seaside - other,Visits,Seaside,Not City
2017,Million Visits,151,All areas,Visits,All,Not City
